The problem can be solved by implementing a Moore state machine with two states: walking left and walking right. The state machine will have two inputs: bump_left and bump_right, and one output that determines the direction of the Lemming. The next state of the machine will be determined by the current state and the input values. If the Lemming is bumped on either side, it will switch directions. The module will also have an asynchronous reset input (areset) that resets the machine to the walking left state when it is asserted.

The state machine can be represented by the following state transition table:
| Current State | bump_left | bump_right | Next State |
| --- | --- | --- | --- |
| walk_left | 0 | 0 | walk_left |
| walk_left | 0 | 1 | walk_right |
| walk_left | 1 | 0 | walk_right |
| walk_left | 1 | 1 | walk_right |
| walk_right | 0 | 0 | walk_right |
| walk_right | 0 | 1 | walk_left |
| walk_right | 1 | 0 | walk_left |
| walk_right | 1 | 1 | walk_left |

This state transition table can be implemented using a Moore state machine, where the output (direction of the Lemming) is determined by the current state.
