backend,benchmark,problem,candidate_id,generation,strategy,g_A,g_P,g_T,code_file_path,canonical_sha256,canonical_chars,embedding_norm,qwen_pc0,qwen_pc1,qwen_pc2,qwen_pc3
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,9578b202-895c-4404-8e9c-eac5e9363e44,0,initial,0.0724489795918,-0.770601336303,-1.86585365854,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample7_initial/code.sv,35e4d98299a541da82035b529e5189d1c0b8075a6eca753e5d88819307699462,925,1.000754952,-0.162965298,0.130091950,-0.066254169,0.250696838
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,30385121-6f9f-4cf7-b9a4-f7c274a02fae,0,initial,0.301020408163,-0.180400890869,-0.256097560976,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample8_initial/code.sv,107f1a5ffc5ac19e83765027c6cca001ce515ff2e8fcc721b4f8e00be226001e,846,1.002069354,-0.085460089,0.187581584,-0.061016470,0.379582256
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,9f07b5aa-c559-494d-8710-2abeff5ec637,1,M-E,0.288775510204,-0.213808463252,-0.134146341463,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample2_M-E/code.sv,be7bbbd0da1e829908e68bdb7576da969d991baf1b18732ad1b4577cbb383aaf,856,0.998501182,-0.032785654,0.147017136,-0.078155547,0.325013220
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,7e300b92-40f5-4d95-b74c-793104eda26e,1,M-I,0.301020408163,-0.180400890869,-0.256097560976,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample7_M-I/code.sv,ad658edc466b430850c32bc400ea8abe4075dbbea89d0b65a9a46e1da56f7af0,848,0.998557031,-0.080867544,0.186819389,-0.061482389,0.386592329
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,add293ac-3938-4e14-977c-5fa87e780d56,1,M-E,0.277551020408,-0.224944320713,-0.280487804878,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample8_M-E/code.sv,de69d7b02d24d6d9bdb083f23a2c11c60b796f4e7c3cab5c24f95e8e0f36119f,1239,1.002187610,-0.172718659,0.155207038,-0.084758170,0.277124703
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,aa76343b-ccab-4e5f-a6e7-ac5ffa4fb0a4,2,M-R,0.301020408163,-0.180400890869,-0.256097560976,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample4_M-R/code.sv,aec5af5125f06d0124bfc5c6c1f004fb0382f181561898dbf8730a7b0b7139dc,761,1.002065659,-0.055891216,0.186460435,-0.056225970,0.386344463
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,93b92fd4-6206-41c2-b8eb-4b6ed488e40b,2,C-F,0.132653061224,-0.570155902004,0.0121951219512,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample6_C-F/code.sv,055d305c26000b2ca4c69f6fe95eb309b1a9db499f57917b115d93d2fb4ee416,1148,0.999045551,-0.072736897,0.187931657,-0.081845030,0.364192069
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,228d1ab4-a2db-4af4-94ef-0a42404663a9,2,M-R,0.288775510204,-0.213808463252,-0.134146341463,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample7_M-R/code.sv,856f96c417376438942e336af50770ddcc422503b429e56254355680b40c9e18,1230,0.998171985,-0.008473529,0.169104099,-0.073800661,0.347763360
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,cbb3601d-7cc5-4356-ac3e-5269904a3f35,3,M-E,-0.0122448979592,-0.904231625835,-0.0121951219512,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/Prob015_multi_pipe_8bit_sample1_M-E/code.sv,04429041e829b58102bf0e6b57251004c59b2010fd3ced3a13545a11fb9a25e1,1680,0.998547137,-0.195948482,0.154156744,-0.114222646,0.270036906
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,197d6cd4-22ca-458c-8a6f-a751e9b2fbd8,3,M-E,-0.533673469388,-2.12917594655,0.292682926829,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/Prob015_multi_pipe_8bit_sample2_M-E/code.sv,65303244cd014e31e4ca9411df6067fe14c5ab8728a2ba866d00a949da43c55d,2580,0.998899043,-0.173227832,0.129085705,-0.082147501,0.291810274
